Step Index,Step Name,Timestamp (s),Best Similarity,Status
0,Ichi: Left Lower Block,1.022963514519732,0.7751890132350998,SUCCESS
1,Ni: Right Lunge Punch,3.619717051377513,0.7728557443600599,SUCCESS
2,San: Turn & Right Lower Block,6.085321419707124,0.5536854516173276,SUCCESS
3,Shi: Right Hammerfist Strike,9.075522462149417,0.8676850206579105,SUCCESS
4,Go: Left Lunge Punch,11.252598659717052,0.6757529650274405,SUCCESS
5,Roku: Turn & Left Lower Block,12.11818317200298,0.562774144428385,SUCCESS
6,Shichi: Right Upper Block,13.560824025812856,0.5911585671123781,SUCCESS
7,Hachi: Left Upper Block,14.84608587738893,0.630775289465598,SUCCESS
8,Ku: Right Upper Block (Kiai),15.869049391908662,0.9438720558868183,SUCCESS
9,Ju: Turn & Left Down Block,17.18054107719037,0.7659151577657188,SUCCESS
10,Ju Ichi: Right Lunge Punch,18.57072226358898,0.6693172220041574,SUCCESS
11,Ju Ni: Turn & Right Down Block,19.56745594440308,0.5741082526515495,SUCCESS
12,Ju San: Left Lunge Punch,20.616649292628445,0.5824944181342798,SUCCESS
13,Ju Shi: Turn & Left Lower Block,21.324854802680566,0.673819694158358,SUCCESS
14,Ju Go: Right Lunge Punch,22.767495656490443,0.8768677342013455,SUCCESS
15,Ju Roku: Left Lunge Punch,23.92160833953835,0.6962076978065583,SUCCESS
16,Ju Shichi: Right Lunge Punch (2nd Kiai),24.105217175477787,0.828853794797801,SUCCESS
17,Ju Hachi: Left Knife Hand Block,26.28229337304542,0.9004872145105562,SUCCESS
